MANDT,MSEHI,KZEX3,KZEX6,ANDEC,KZKEH,KZWOB,KZ1EH,KZ2EH,DIMID,ZAEHL,NENNR,EXP10,ADDKO,EXPON,DECAN,ISOCODE,PRIMARY,TEMP_VALUE,TEMP_UNIT,FAMUNIT,PRESS_VAL,PRESS_UNIT
900,MGF,X,X,0,,,,,MASSBD,1,100,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,MGG,X,X,0,,,,,MPROPO,1,1000,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,MGJ,X,X,0,,,,,MAPER,1,1,-6,0,0,0,,,0.00E+00,,,0.00E+00,
900,MGK,X,X,0,,,,,MPROPO,1,1000000,0,0,0,0,NA,,0.00E+00,,,0.00E+00,
900,MGL,X,X,0,X,,,,DENSI,1,1000,0,0,0,0,M1,,0.00E+00,,,0.00E+00,
900,MGQ,X,X,0,X,,,,DENSI,1,1000000,0,0,0,0,GP,,0.00E+00,,,0.00E+00,
900,MGT,X,X,0,,,,,MPROPO,1,1000,-6,0,0,0,,,0.00E+00,,,0.00E+00,
900,MGW,X,X,0,,,,,POWER,1000000,1,0,0,0,0,MAW,X,0.00E+00,,,0.00E+00,
900,MGq,X,X,0,,,,,DENSI,1,10000000,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,MHZ,X,X,0,,,,,FREQU,1000000,1,0,0,0,0,MHZ,,0.00E+00,,,0.00E+00,
900,MI,X,X,3,X,,,,LENGTH,201168,125,0,0,0,0,SMI,,0.00E+00,,,0.00E+00,
900,MI2,X,X,0,X,,,,SURFAC,774400000,299,0,0,0,0,MIK,,0.00E+00,,,0.00E+00,
900,MIM,X,X,3,X,,,,LENGTH,1,1000000,0,0,0,0,4H,,0.00E+00,,,0.00E+00,
900,MIN,X,X,3,X,,,,TIME,60,1,0,0,0,0,MIN,X,0.00E+00,,,0.00E+00,
900,MIS,X,X,0,X,,,,TIME,1,1000000,0,0,0,0,B98,,0.00E+00,,,0.00E+00,
900,MJ,X,X,0,,,,,ENERGY,1,1000,0,0,0,0,C15,,0.00E+00,,,0.00E+00,
900,MJK,X,X,0,,,,,SPENER,1000000,1,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,ML,X,X,3,X,,,,VOLUME,1,1000000,0,0,0,0,MLT,X,0.00E+00,,,0.00E+00,
900,MLK,X,X,0,,,,,VPROPO,1,1,-6,0,0,0,,,0.00E+00,,,0.00E+00,
900,MLW,X,X,0,X,,,,AAAADL,1,1,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,MM,X,X,3,X,,,,LENGTH,1,1000,0,0,0,0,MMT,X,0.00E+00,,,0.00E+00,
900,MM2,X,X,3,X,,,,SURFAC,1,1000000,0,0,0,0,MMK,,0.00E+00,,,0.00E+00,
900,MMA,X,X,0,,,,,SPEED,1,31536,-6,0,0,0,,,0.00E+00,,,0.00E+00,
900,MMG,X,X,0,,,,,SPAEQU,1,1,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,MMH,X,X,0,,,,,SPEED,1,3600000,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,MMK,X,X,0,,,,,SPAEQU,1,1000,0,0,0,0,D87,,0.00E+00,,,0.00E+00,
900,MMO,X,X,0,,,,,MOLQU,1,1000,0,0,0,0,C18,,0.00E+00,,,0.00E+00,
